Member_ID,Trainer_ID,Start_Date
1,201,2026-01-01
2,202,2026-02-01
3,203,2026-03-01
4,204,2026-04-01
5,205,2026-05-01
6,201,2026-06-01
7,202,2026-07-01
8,203,2026-08-01
9,204,2026-09-01
10,205,2026-10-01
11,201,2026-11-01
12,202,2026-12-01
13,203,2026-01-01
14,204,2026-02-01
15,205,2026-03-01
16,201,2026-04-01
17,202,2026-05-01
18,203,2026-06-01
19,204,2026-07-01
20,205,2026-08-01
21,201,2026-09-01
22,202,2026-10-01
23,203,2026-11-01
24,204,2026-12-01
25,205,2026-01-01
26,201,2026-02-01
27,202,2026-03-01
28,203,2026-04-01
29,204,2026-05-01
30,205,2026-06-01
31,201,2026-07-01
32,202,2026-08-01
33,203,2026-09-01
34,204,2026-10-01
35,205,2026-11-01
36,201,2026-12-01
37,202,2026-01-01
38,203,2026-02-01
39,204,2026-03-01
40,205,2026-04-01
41,201,2026-05-01
42,202,2026-06-01
43,203,2026-07-01
44,204,2026-08-01
45,205,2026-09-01
46,201,2026-10-01
47,202,2026-11-01
48,203,2026-12-01
49,204,2026-01-01
50,205,2026-02-01
