Workout_ID,Member_ID,Workout_Date,Workout_Type,Duration_Min,Calories_Burned
5001,1,2026-02-04,Cardio,42,257
5002,1,2026-03-11,HIIT,53,310
5003,1,2026-04-18,Yoga,64,363
5004,2,2026-03-07,HIIT,49,294
5005,2,2026-04-14,Yoga,60,347
5006,2,2026-05-21,Functional,71,400
5007,3,2026-04-10,Yoga,56,331
5008,3,2026-05-17,Functional,67,384
5009,3,2026-06-24,Strength,78,437
5010,4,2026-05-13,Functional,63,368
5011,4,2026-06-20,Strength,74,421
5012,4,2026-07-03,Cardio,85,474
5013,5,2026-06-16,Strength,70,405
5014,5,2026-07-23,Cardio,81,458
5015,5,2026-08-06,HIIT,36,511
5016,6,2026-07-19,Cardio,77,442
5017,6,2026-08-02,HIIT,88,495
5018,6,2026-01-09,Yoga,43,548
5019,7,2026-08-22,HIIT,84,479
5020,7,2026-01-05,Yoga,39,532
5021,7,2026-02-12,Functional,50,585
5022,8,2026-01-01,Yoga,35,516
5023,8,2026-02-08,Functional,46,569
5024,8,2026-03-15,Strength,57,241
5025,9,2026-02-04,Functional,42,553
5026,9,2026-03-11,Strength,53,225
5027,9,2026-04-18,Cardio,64,278
5028,10,2026-03-07,Strength,49,590
5029,10,2026-04-14,Cardio,60,262
5030,10,2026-05-21,HIIT,71,315
5031,11,2026-04-10,Cardio,56,246
5032,11,2026-05-17,HIIT,67,299
5033,11,2026-06-24,Yoga,78,352
5034,12,2026-05-13,HIIT,63,283
5035,12,2026-06-20,Yoga,74,336
5036,12,2026-07-03,Functional,85,389
5037,13,2026-06-16,Yoga,70,320
5038,13,2026-07-23,Functional,81,373
5039,13,2026-08-06,Strength,36,426
5040,14,2026-07-19,Functional,77,357
5041,14,2026-08-02,Strength,88,410
5042,14,2026-01-09,Cardio,43,463
5043,15,2026-08-22,Strength,84,394
5044,15,2026-01-05,Cardio,39,447
5045,15,2026-02-12,HIIT,50,500
5046,16,2026-01-01,Cardio,35,431
5047,16,2026-02-08,HIIT,46,484
5048,16,2026-03-15,Yoga,57,537
5049,17,2026-02-04,HIIT,42,468
5050,17,2026-03-11,Yoga,53,521
5051,17,2026-04-18,Functional,64,574
5052,18,2026-03-07,Yoga,49,505
5053,18,2026-04-14,Functional,60,558
5054,18,2026-05-21,Strength,71,230
5055,19,2026-04-10,Functional,56,542
5056,19,2026-05-17,Strength,67,595
5057,19,2026-06-24,Cardio,78,267
5058,20,2026-05-13,Strength,63,579
5059,20,2026-06-20,Cardio,74,251
5060,20,2026-07-03,HIIT,85,304
5061,21,2026-06-16,Cardio,70,235
5062,21,2026-07-23,HIIT,81,288
5063,21,2026-08-06,Yoga,36,341
5064,22,2026-07-19,HIIT,77,272
5065,22,2026-08-02,Yoga,88,325
5066,22,2026-01-09,Functional,43,378
5067,23,2026-08-22,Yoga,84,309
5068,23,2026-01-05,Functional,39,362
5069,23,2026-02-12,Strength,50,415
5070,24,2026-01-01,Functional,35,346
5071,24,2026-02-08,Strength,46,399
5072,24,2026-03-15,Cardio,57,452
5073,25,2026-02-04,Strength,42,383
5074,25,2026-03-11,Cardio,53,436
5075,25,2026-04-18,HIIT,64,489
5076,26,2026-03-07,Cardio,49,420
5077,26,2026-04-14,HIIT,60,473
5078,26,2026-05-21,Yoga,71,526
5079,27,2026-04-10,HIIT,56,457
5080,27,2026-05-17,Yoga,67,510
5081,27,2026-06-24,Functional,78,563
5082,28,2026-05-13,Yoga,63,494
5083,28,2026-06-20,Functional,74,547
5084,28,2026-07-03,Strength,85,600
5085,29,2026-06-16,Functional,70,531
5086,29,2026-07-23,Strength,81,584
5087,29,2026-08-06,Cardio,36,256
5088,30,2026-07-19,Strength,77,568
5089,30,2026-08-02,Cardio,88,240
5090,30,2026-01-09,HIIT,43,293
5091,31,2026-08-22,Cardio,84,224
5092,31,2026-01-05,HIIT,39,277
5093,31,2026-02-12,Yoga,50,330
5094,32,2026-01-01,HIIT,35,261
5095,32,2026-02-08,Yoga,46,314
5096,32,2026-03-15,Functional,57,367
5097,33,2026-02-04,Yoga,42,298
5098,33,2026-03-11,Functional,53,351
5099,33,2026-04-18,Strength,64,404
5100,34,2026-03-07,Functional,49,335
5101,34,2026-04-14,Strength,60,388
5102,34,2026-05-21,Cardio,71,441
5103,35,2026-04-10,Strength,56,372
5104,35,2026-05-17,Cardio,67,425
5105,35,2026-06-24,HIIT,78,478
